8.8401e-006 8.84008e-006
8.86138e-006 8.8612e-006
8.88314e-006 8.88278e-006
8.90537e-006 8.90483e-006
8.92804e-006 8.92733e-006
8.95115e-006 8.95027e-006
8.97468e-006 8.97364e-006
8.99861e-006 8.99742e-006
9.02292e-006 9.02162e-006
9.04761e-006 9.04621e-006
9.07265e-006 9.07118e-006
9.09803e-006 9.09653e-006
9.12372e-006 9.12223e-006
9.14972e-006 9.14828e-006
9.176e-006 9.17465e-006
9.20254e-006 9.20134e-006
9.22933e-006 9.22832e-006
9.25635e-006 9.25558e-006
9.28357e-006 9.28311e-006
9.31097e-006 9.31087e-006
9.33855e-006 9.33886e-006
9.36626e-006 9.36705e-006
9.3941e-006 9.39543e-006
9.42205e-006 9.42395e-006
9.45007e-006 9.45261e-006
9.47815e-006 9.48138e-006
9.50626e-006 9.51023e-006
9.53439e-006 9.53913e-006
9.5625e-006 9.56806e-006
9.59058e-006 9.59698e-006
9.6186e-006 9.62585e-006
9.64653e-006 9.65466e-006
9.67435e-006 9.68335e-006
9.70203e-006 9.71189e-006
9.72955e-006 9.74024e-006
9.75688e-006 9.76835e-006
9.78399e-006 9.79619e-006
9.81086e-006 9.8237e-006
9.83746e-006 9.85084e-006
9.86375e-006 9.87754e-006
9.88971e-006 9.90375e-006
9.91532e-006 9.92942e-006
9.94053e-006 9.95447e-006
9.96532e-006 9.97884e-006
9.98967e-006 1.00025e-005
1.00135e-005 1.00252e-005
1.00369e-005 1.00471e-005
1.00597e-005 1.0068e-005
1.00819e-005 1.00878e-005
1.01035e-005 1.01064e-005
1.01244e-005 1.01236e-005
